2026-03-29 16:55:20.065 | AlertService | resetAlertSyncState
2026-03-29 16:55:20.073 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 16:55:20.109 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:20.464 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 16:55:20.468 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:20.702 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:21.014 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 16:55:21.017 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:21.403 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 16:55:21.406 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:21.691 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:22.639 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:23.625 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:24.711 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:25.654 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:26.648 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:27.687 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:28.676 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:29.648 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:30.199 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 16:55:30.203 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:30.664 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:31.691 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:32.637 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:33.733 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:34.719 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:35.722 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:36.670 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:36.753 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 16:55:37.659 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:37.732 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 16:55:38.723 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 16:55:38.752 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:39.687 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:40.746 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:41.657 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:42.664 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:43.839 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:44.681 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:45.672 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:47.014 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:47.111 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 16:55:47.406 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:48.437 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:48.454 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:48.861 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:49.743 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:50.143 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 16:55:50.145 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 16:55:50.814 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:51.697 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:52.751 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:53.670 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:54.811 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:55.842 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:56.742 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:57.673 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:58.729 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:55:59.664 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:00.740 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:01.613 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:02.876 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:03.360 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:03.906 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:04.326 | AlertUI | BlankTestFragment alert panel initialized
2026-03-29 16:56:04.338 | AlertVM | handleQueryCallback type=Default
2026-03-29 16:56:04.341 | AlertVM | handleUpdateCallback type=DeviceTimeSynced
2026-03-29 16:56:04.345 | AlertVM | onConnectedStateChanged state=ConnectSuccess
2026-03-29 16:56:04.348 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 16:56:04.353 | AlertVM | loadState={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 16:56:04.436 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 16:56:04.442 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 16:56:04.463 | ZhQuery | getPressureModeSettings dispatched
2026-03-29 16:56:04.468 | ZhQuery | getSleepReminder dispatched
2026-03-29 16:56:04.469 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 16:56:04.473 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 16:56:04.479 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 16:56:04.482 | ZhQuery | getPressureModeSettings dispatched
2026-03-29 16:56:04.485 | ZhQuery | getSleepReminder dispatched
2026-03-29 16:56:04.672 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:04.677 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:04.679 | AlertVM | handleQueryCallback type=Default
2026-03-29 16:56:05.672 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:05.680 | AlertVM | handleQueryCallback type=UpdateFirmwareLogStatus
2026-03-29 16:56:05.683 | AlertVM | handleQueryCallback type=Default
2026-03-29 16:56:06.579 | ZhQuery | onHeartRateMonitorResult={"continuousHeartRateMode":0,"frequency":5,"isSportWarning":false,"isWarning":false,"lowWarningValue":0,"mode":0,"sportWarningValue":0,"warningValue":220}
2026-03-29 16:56:06.581 | AlertService | queryCallback type=HeartRateAlertDataObtained
2026-03-29 16:56:06.582 | AlertService | queryCallback type=HeartRateAlertSettingsObtained
