2026-03-29 19:32:02.707 | AlertService | resetAlertSyncState
2026-03-29 19:32:02.729 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 19:32:03.068 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 19:32:03.084 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 19:32:03.401 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 19:32:03.403 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 19:32:03.889 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 19:32:03.892 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 19:32:04.806 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 19:32:04.823 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 19:32:11.614 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 19:32:12.606 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 19:32:13.596 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 19:32:14.926 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:15.628 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:16.558 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:17.635 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:18.594 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:19.583 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:20.632 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:21.627 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:22.616 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:23.852 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:24.645 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 19:32:25.649 | AlertService | queryCallback type=UpdateFirmwareLogStatus
