2026-03-29 22:04:42.462 | AlertService | resetAlertSyncState
2026-03-29 22:04:42.481 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 22:04:42.519 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:42.761 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 22:04:42.769 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:04:43.056 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 22:04:43.058 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:04:43.421 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:43.659 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 22:04:43.667 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:04:44.009 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 22:04:44.015 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:04:44.283 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:45.229 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:46.315 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:47.223 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:48.158 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:49.198 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:50.138 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:50.546 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 22:04:51.206 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:51.554 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 22:04:52.204 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:52.538 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 22:04:53.192 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:54.230 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:55.201 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:56.175 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:57.643 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:57.735 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 22:04:58.106 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:04:58.992 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:04:59.012 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:05:00.069 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:00.530 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:01.479 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:02.058 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 22:05:02.060 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 22:05:02.388 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:03.315 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:04.273 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:05.215 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 22:05:06.243 | AlertService | queryCallback type=UpdateFirmwareLogStatus
