2026-03-29 18:21:57.935 | AlertService | resetAlertSyncState
2026-03-29 18:21:57.942 | AlertService | syncPendingAlertSettings skipped disconnected
2026-03-29 18:21:58.001 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:21:58.281 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 18:21:58.286 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:21:58.740 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 18:21:58.741 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:21:58.829 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:21:59.456 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 18:21:59.460 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:21:59.882 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:00.136 | AlertService | queryCallback type=FirmwareVersionObtained
2026-03-29 18:22:00.142 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:22:00.825 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:01.905 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:02.916 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:03.714 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:04.702 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:05.757 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:05.907 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 18:22:06.677 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:06.885 | AlertService | updateCallback type=UserInfoUpdated
2026-03-29 18:22:07.660 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:07.886 | AlertService | updateCallback type=DeviceUnitsUpdated
2026-03-29 18:22:08.920 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:09.848 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:10.713 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:11.695 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:12.779 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:13.659 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:14.761 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:15.854 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:16.705 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:17.886 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:18.764 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:19.703 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:20.748 | AlertService | updateCallback type=DeviceTimeSynced
2026-03-29 18:22:20.887 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:21.194 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:22:22.518 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:23.403 | AlertService | queryCallback type=BatteryDataObtained
2026-03-29 18:22:23.407 | AlertService | queryCallback type=UpdateFirmwareLogStatus
2026-03-29 18:22:23.819 | AlertUI | BlankTestFragment alert panel initialized
2026-03-29 18:22:23.827 | AlertVM | handleQueryCallback type=Default
2026-03-29 18:22:23.831 | AlertVM | handleUpdateCallback type=DeviceTimeSynced
2026-03-29 18:22:23.839 | AlertVM | onConnectedStateChanged state=ConnectSuccess
2026-03-29 18:22:23.843 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 18:22:23.854 | AlertVM | loadState={"device_address":"D8:5C:08:30:00:1E","heart_rate":{"low_enabled":false,"low_threshold":50,"resting_enabled":false,"resting_threshold":150,"workout_enabled":false,"workout_threshold":175},"pending_sync":{"heart_rate":false,"relaxation_prompt":false,"sedentary_reminder":false,"sleep_reminder":false,"spo2":false},"pressure_mode":{"relaxation_prompt_enabled":false,"stress_monitoring_enabled":false},"sedentary_reminder":{"end_hour":18,"end_minute":0,"interval":60,"repeat_count":0,"start_hour":9,"start_minute":0,"status":false},"sleep_reminder":{"hour":0,"millisecond":0,"minute":0,"second":0,"status":false},"snapshots":{"heart_rate":{},"sedentary_reminder":{}},"spo2":{"enabled":false,"threshold":75},"support":{"heart_rate":true,"high_stress_index":false,"relaxation_prompt":true,"sedentary_reminder":true,"sleep_reminder":true,"spo2":true,"wear_detection":false}}
2026-03-29 18:22:23.945 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 18:22:23.948 | ZhQuery | getSpo2AlertSettings dispatched
2026-03-29 18:22:23.956 | ZhQuery | getPressureModeSettings dispatched
2026-03-29 18:22:23.957 | ZhQuery | getSleepReminder dispatched
2026-03-29 18:22:23.982 | AlertVM | refreshFromBand dispatching alert queries
2026-03-29 18:22:23.992 | ZhQuery | getHeartRateAlertSettings dispatched
2026-03-29 18:22:23.995 | ZhQuery | getSpo2AlertSettings dispatched
